n,DeltaU1_V,U1_min_V,IA_min_nA
1,,10.79,1.26
2,3.66,14.45,1.84
3,4.710000000000001,19.16,2.81
4,4.719999999999999,23.88,4.06
5,5.0,28.88,5.88
6,4.91,33.79,8.74
7,5.079999999999998,38.87,12.69
8,5.130000000000003,44.0,20.05
