n,DeltaU1_V,U1_min_V,IA_min_nA
1,,10.3,1.39
2,3.91,14.21,2.31
3,4.859999999999999,19.07,3.69
4,4.91,23.98,5.63
5,4.899999999999999,28.88,8.61
6,5.059999999999999,33.94,13.58
7,5.150000000000006,39.09,21.39
8,4.759999999999998,43.85,44.68
