min_index,U1_mean_V,U1_std_V,IA_mean_nA,IA_std_nA
1,0.9461904761904757,0.21883309889060584,0.2864795918367348,0.13112156688383925
2,-439208192229.4231,760730904044.2039,-15686006865.09883,27168960858.671246
3,2.8901481851482096,0.18814938413831994,0.2917815557458425,0.13478716020978154
4,-109802048054.74243,190182726012.66464,-3921501716.1343274,6792240214.765721
5,4.6974603174603535,0.4920405204571888,0.3318656462585163,0.13767873368162717
6,5.635119047618974,0.5742697596101927,0.40839172335599017,0.17626943488330865
7,6.745087719298252,0.8971812713216665,0.597194235589015,0.2903189842364053
8,8.221666666666659,0.8126551133989337,0.898932539682562,0.2458697921579292
9,9.369343434343541,0.6047387352099457,1.0321764069264152,0.13074146550884935
10,12.732619047618982,2.636650659582745,1.679990929705031,0.6562427066254433
11,16.98175438596436,3.638930947975042,3.0121188387633615,0.44593296712383684
