n,DeltaU1_V,U1_min_V,IA_min_nA
1,,0.17,0.42
2,0.26,0.43,0.41
3,0.14999999999999997,0.58,0.42
4,0.050000000000000044,0.63,0.4
5,0.19999999999999996,0.83,0.42
6,0.14,0.97,0.42
7,0.050000000000000044,1.02,0.41
8,0.1499999999999999,1.17,0.42
9,0.14000000000000012,1.31,0.43
10,0.050000000000000044,1.36,0.42
11,0.04999999999999982,1.41,0.4
12,0.10000000000000009,1.51,0.41
13,0.050000000000000044,1.56,0.39
14,0.050000000000000044,1.61,0.41
15,0.08999999999999986,1.7,0.39
16,0.050000000000000044,1.75,0.4
17,0.08000000000000007,1.83,0.4
18,0.18999999999999995,2.02,0.41
19,0.1499999999999999,2.17,0.38
20,0.050000000000000266,2.22,0.34
21,0.13999999999999968,2.36,0.36
22,0.050000000000000266,2.41,0.41
23,0.09999999999999964,2.51,0.41
24,0.050000000000000266,2.56,0.41
25,0.04999999999999982,2.61,0.43
26,0.10000000000000009,2.71,0.42
27,0.040000000000000036,2.75,0.4
28,0.04999999999999982,2.8,0.4
29,0.10000000000000009,2.9,0.39
30,0.050000000000000266,2.95,0.39
31,0.04999999999999982,3.0,0.41
32,0.10000000000000009,3.1,0.41
33,0.04999999999999982,3.15,0.41
34,0.0900000000000003,3.24,0.41
35,0.36999999999999966,3.61,0.39
36,0.29000000000000004,3.9,0.44
37,0.050000000000000266,3.95,0.44
38,0.09999999999999964,4.05,0.46
39,0.04999999999999982,4.1,0.44
40,0.05000000000000071,4.15,0.44
41,0.04999999999999982,4.2,0.44
42,0.040000000000000036,4.24,0.44
43,0.04999999999999982,4.29,0.43
44,0.04999999999999982,4.34,0.42
45,0.04999999999999982,4.39,0.43
46,0.05000000000000071,4.44,0.43
47,0.04999999999999982,4.49,0.43
48,0.09999999999999964,4.59,0.43
49,0.040000000000000036,4.63,0.42
50,0.04999999999999982,4.68,0.42
51,0.15000000000000036,4.83,0.47
52,0.3200000000000003,5.15,0.44
53,0.33999999999999986,5.49,0.49
54,0.14999999999999947,5.64,0.48
55,0.040000000000000036,5.68,0.48
56,0.05000000000000071,5.73,0.48
57,0.09999999999999964,5.83,0.47
58,0.04999999999999982,5.88,0.5
59,0.04999999999999982,5.93,0.52
60,0.10000000000000053,6.03,0.54
61,0.04999999999999982,6.08,0.53
62,0.08999999999999986,6.17,0.55
63,0.04999999999999982,6.22,0.56
64,0.15000000000000036,6.37,0.54
65,0.04999999999999982,6.42,0.56
66,0.04999999999999982,6.47,0.56
67,0.08999999999999986,6.56,0.6
68,0.20000000000000018,6.76,0.65
69,0.1200000000000001,6.88,0.68
70,0.15000000000000036,7.03,0.68
71,0.04999999999999982,7.08,0.68
72,0.04999999999999982,7.13,0.68
73,0.040000000000000036,7.17,0.69
74,0.04999999999999982,7.22,0.7
75,0.04999999999999982,7.27,0.73
76,0.05000000000000071,7.32,0.74
77,0.09999999999999964,7.42,0.78
78,0.09999999999999964,7.52,0.8
79,0.05000000000000071,7.57,0.79
80,0.040000000000000036,7.61,0.8
81,0.14999999999999947,7.76,0.83
82,0.04999999999999982,7.81,0.83
83,0.05000000000000071,7.86,0.83
84,0.04999999999999982,7.91,0.82
85,0.04999999999999982,7.96,0.83
86,0.040000000000000036,8.0,0.86
87,0.09999999999999964,8.1,0.91
