n,DeltaU1_V,U1_min_V,IA_min_nA
88,0.05000000000000071,8.15,0.92
89,0.15000000000000036,8.3,0.9
90,0.11999999999999922,8.42,0.93
91,0.07000000000000028,8.49,0.96
92,0.08000000000000007,8.57,0.95
93,0.049999999999998934,8.62,0.94
94,0.040000000000000924,8.66,0.95
95,0.09999999999999964,8.76,0.96
96,0.05000000000000071,8.81,0.99
97,0.049999999999998934,8.86,1.0
98,0.05000000000000071,8.91,1.0
99,0.05000000000000071,8.96,1.0
100,0.1399999999999988,9.1,1.02
101,0.05000000000000071,9.15,1.03
102,0.1999999999999993,9.35,1.01
103,0.1899999999999995,9.54,1.06
104,0.15000000000000036,9.69,1.05
105,0.05000000000000071,9.74,1.04
106,0.09999999999999964,9.84,1.06
107,0.3100000000000005,10.15,1.09
108,0.1999999999999993,10.35,1.15
109,0.07000000000000028,10.42,1.15
110,0.08000000000000007,10.5,1.16
111,0.03999999999999915,10.54,1.17
112,0.05000000000000071,10.59,1.19
113,0.09999999999999964,10.69,1.23
114,0.05000000000000071,10.74,1.22
115,0.049999999999998934,10.79,1.24
116,0.05000000000000071,10.84,1.23
117,0.05000000000000071,10.89,1.25
118,0.049999999999998934,10.94,1.29
119,0.08999999999999986,11.03,1.35
120,0.05000000000000071,11.08,1.37
121,0.1999999999999993,11.28,1.45
122,0.19000000000000128,11.47,1.6
123,0.46999999999999886,11.94,1.88
124,0.14000000000000057,12.08,1.98
125,0.05000000000000071,12.13,2.04
126,0.09999999999999964,12.23,2.06
127,0.049999999999998934,12.28,2.06
128,0.05000000000000071,12.33,2.07
129,0.08999999999999986,12.42,2.12
130,0.05000000000000071,12.47,2.15
131,0.049999999999998934,12.52,2.16
132,0.05000000000000071,12.57,2.15
133,0.049999999999998934,12.62,2.15
134,0.05000000000000071,12.67,2.15
135,0.15000000000000036,12.82,2.21
136,0.03999999999999915,12.86,2.23
137,0.10000000000000142,12.96,2.2
138,0.049999999999998934,13.01,2.17
139,0.20000000000000107,13.21,2.14
140,0.1399999999999988,13.35,2.11
141,0.20000000000000107,13.55,2.03
142,0.2699999999999996,13.82,1.93
143,0.08999999999999986,13.91,1.92
144,0.3699999999999992,14.28,1.87
145,0.120000000000001,14.4,1.89
146,0.09999999999999964,14.5,1.88
147,0.09999999999999964,14.6,1.9
148,0.05000000000000071,14.65,1.9
149,0.08999999999999986,14.74,1.9
150,0.049999999999998934,14.79,1.92
151,0.20000000000000107,14.99,2.02
152,0.6099999999999994,15.6,2.47
153,0.15000000000000036,15.75,2.64
154,1.3900000000000006,17.14,4.77
155,0.14000000000000057,17.28,4.81
156,0.04999999999999716,17.33,4.79
157,0.15000000000000213,17.48,4.73
158,0.05000000000000071,17.53,4.72
159,0.04999999999999716,17.58,4.67
160,0.05000000000000071,17.63,4.63
161,1.240000000000002,18.87,2.96
162,0.09999999999999787,18.97,2.89
163,0.05000000000000071,19.02,2.87
164,0.05000000000000071,19.07,2.85
165,0.08999999999999986,19.16,2.82
166,0.05000000000000071,19.21,2.81
167,0.05000000000000071,19.26,2.83
168,0.04999999999999716,19.31,2.84
169,0.10000000000000142,19.41,2.87
170,0.05000000000000071,19.46,2.88
171,0.05000000000000071,19.51,2.9
172,4.219999999999999,23.73,4.17
173,0.14999999999999858,23.88,4.05
174,0.05000000000000071,23.93,4.01
175,0.05000000000000071,23.98,4.0
176,0.03999999999999915,24.02,4.0
177,0.05000000000000071,24.07,4.02
178,0.05000000000000071,24.12,4.06
179,0.14999999999999858,24.27,4.17
180,4.52,28.79,5.83
181,0.14000000000000057,28.93,5.83
182,0.05000000000000071,28.98,5.85
183,4.809999999999999,33.79,8.56
184,0.05000000000000426,33.84,8.55
185,0.04999999999999716,33.89,8.55
186,0.10000000000000142,33.99,8.57
187,0.04999999999999716,34.04,8.6
188,4.810000000000002,38.85,12.42
189,0.04999999999999716,38.9,12.39
190,0.14000000000000057,39.04,12.44
191,2.9299999999999997,41.97,29.96
