U1_min_V,IA_min_nA
1.197857142857136,0.34979421768707475
-1317624576691.0,-47058020595.811325
2.6757692307692844,0.3556034798534853
-329406144172.0,-11764505148.925508
5.265000000000094,0.4285119047619048
6.277857142857095,0.5469370748298843
7.730263157894777,0.8577136591479757
8.869999999999962,1.01133333333334
9.89166666666669,1.1014404761905325
14.328571428570836,1.9942602040810016
19.110263157893957,3.1591422305759806
23.929285714284095,4.664282312925025
28.86999999999211,6.922571428569427
33.939285714287685,10.57999659863981
39.01499999999997,15.851190476189004
44.0967647058863,27.21848669467545
