T_C,n,DeltaU1_V,U1_min_V,IA_min_nA
175,54,0.1900000000000004,5.78,0.53
175,55,0.14999999999999947,5.93,0.51
175,56,0.05000000000000071,5.98,0.51
175,57,0.04999999999999982,6.03,0.52
175,58,0.04999999999999982,6.08,0.53
175,59,0.040000000000000036,6.12,0.55
175,60,0.04999999999999982,6.17,0.56
175,61,0.04999999999999982,6.22,0.56
175,62,0.04999999999999982,6.27,0.58
175,63,0.05000000000000071,6.32,0.56
175,64,0.04999999999999982,6.37,0.58
175,65,0.04999999999999982,6.42,0.6
175,66,0.04999999999999982,6.47,0.6
175,67,0.04999999999999982,6.52,0.6
175,68,0.040000000000000036,6.56,0.63
175,69,0.05000000000000071,6.61,0.64
175,70,0.04999999999999982,6.66,0.63
175,71,0.04999999999999982,6.71,0.62
175,72,0.04999999999999982,6.76,0.63
175,73,0.10000000000000053,6.86,0.67
175,74,0.04999999999999982,6.91,0.68
175,75,0.08999999999999986,7.0,0.71
175,76,0.04999999999999982,7.05,0.7
175,77,0.27000000000000046,7.32,0.76
175,78,0.25,7.57,0.81
175,79,0.13999999999999968,7.71,0.86
175,80,0.09999999999999964,7.81,0.85
175,81,0.10000000000000053,7.91,0.86
175,82,0.14000000000000057,8.05,0.91
175,83,0.049999999999998934,8.1,0.91
175,84,0.09999999999999964,8.2,0.91
175,85,0.05000000000000071,8.25,0.91
175,86,0.05000000000000071,8.3,0.93
175,87,0.1399999999999988,8.44,0.94
175,88,0.08000000000000007,8.52,0.94
175,89,0.07000000000000028,8.59,0.95
175,90,0.1999999999999993,8.79,0.99
175,91,0.46000000000000085,9.25,1.03
175,92,0.05000000000000071,9.3,1.02
175,93,0.049999999999998934,9.35,1.03
175,94,0.05000000000000071,9.4,1.03
175,95,0.049999999999998934,9.45,1.03
175,96,0.040000000000000924,9.49,1.06
175,97,0.09999999999999964,9.59,1.03
175,98,0.05000000000000071,9.64,1.02
175,99,0.049999999999998934,9.69,1.0
175,100,0.09999999999999964,9.79,1.03
175,101,0.05000000000000071,9.84,1.05
175,102,0.08999999999999986,9.93,1.09
175,103,0.05000000000000071,9.98,1.07
175,104,0.049999999999998934,10.03,1.07
175,105,0.05000000000000071,10.08,1.07
175,106,0.05000000000000071,10.13,1.07
175,107,0.049999999999998934,10.18,1.08
175,108,0.05000000000000071,10.23,1.14
175,109,0.1899999999999995,10.42,1.12
175,110,0.22000000000000064,10.64,1.27
175,111,0.14999999999999858,10.79,1.25
175,112,0.05000000000000071,10.84,1.26
175,113,0.05000000000000071,10.89,1.27
175,114,0.08999999999999986,10.98,1.34
175,115,0.049999999999998934,11.03,1.35
175,116,0.10000000000000142,11.13,1.38
175,117,0.049999999999998934,11.18,1.39
175,118,0.05000000000000071,11.23,1.43
175,119,0.049999999999998934,11.28,1.45
175,120,0.05000000000000071,11.33,1.49
175,121,0.03999999999999915,11.37,1.52
175,122,0.05000000000000071,11.42,1.56
175,123,0.05000000000000071,11.47,1.59
175,124,0.049999999999998934,11.52,1.62
175,125,0.05000000000000071,11.57,1.65
175,126,0.15000000000000036,11.72,1.77
175,127,0.049999999999998934,11.77,1.79
175,128,0.33999999999999986,12.11,2.0
175,129,0.120000000000001,12.23,2.07
175,130,0.15000000000000036,12.38,2.12
175,131,0.1399999999999988,12.52,2.18
175,132,0.05000000000000071,12.57,2.16
175,133,0.049999999999998934,12.62,2.15
175,134,0.10000000000000142,12.72,2.18
175,135,0.049999999999998934,12.77,2.19
175,136,0.14000000000000057,12.91,2.23
175,137,0.1999999999999993,13.11,2.16
175,138,0.27000000000000135,13.38,2.06
175,139,0.06999999999999851,13.45,2.05
175,140,0.20000000000000107,13.65,2.0
175,141,0.03999999999999915,13.69,1.99
175,142,0.15000000000000036,13.84,1.95
175,143,0.120000000000001,13.96,1.95
175,144,0.14999999999999858,14.11,1.87
175,145,0.10000000000000142,14.21,1.86
175,146,0.049999999999998934,14.26,1.86
175,147,0.05000000000000071,14.31,1.85
175,148,0.03999999999999915,14.35,1.84
175,149,0.09999999999999964,14.45,1.83
175,150,0.05000000000000071,14.5,1.82
175,151,0.05000000000000071,14.55,1.85
175,152,0.09999999999999964,14.65,1.89
175,153,0.049999999999998934,14.7,1.91
175,154,0.040000000000000924,14.74,1.91
175,155,0.049999999999998934,14.79,1.93
175,156,0.05000000000000071,14.84,1.92
175,157,0.05000000000000071,14.89,1.93
175,158,0.14999999999999858,15.04,2.02
175,159,1.0,16.04,3.08
175,160,2.4700000000000024,18.51,3.31
175,161,0.259999999999998,18.77,3.03
175,162,0.1999999999999993,18.97,2.9
175,163,0.05000000000000071,19.02,2.87
175,164,0.10000000000000142,19.12,2.81
175,165,0.03999999999999915,19.16,2.79
175,166,0.05000000000000071,19.21,2.81
175,167,0.09999999999999787,19.31,2.86
175,168,0.05000000000000071,19.36,2.87
175,169,0.05000000000000071,19.41,2.89
175,170,0.05000000000000071,19.46,2.92
175,171,0.05000000000000071,19.51,2.92
175,172,0.04999999999999716,19.56,2.97
175,173,0.0400000000000027,19.6,3.0
175,174,0.09999999999999787,19.7,3.1
175,175,0.05000000000000071,19.75,3.16
175,176,2.1499999999999986,21.9,8.47
175,177,0.05000000000000071,21.95,8.48
175,178,1.9800000000000004,23.93,4.05
175,179,0.05000000000000071,23.98,4.06
175,180,0.03999999999999915,24.02,4.05
175,181,0.05000000000000071,24.07,4.09
175,182,0.05000000000000071,24.12,4.1
175,183,0.05000000000000071,24.17,4.09
175,184,0.04999999999999716,24.22,4.12
175,185,0.05000000000000071,24.27,4.15
175,186,2.6799999999999997,26.95,13.02
175,187,1.740000000000002,28.69,5.94
175,188,0.14999999999999858,28.84,5.88
175,189,0.03999999999999915,28.88,5.87
175,190,0.05000000000000071,28.93,5.87
175,191,0.05000000000000071,28.98,5.9
175,192,0.05000000000000071,29.03,5.92
175,193,2.7799999999999976,31.81,18.54
175,194,1.9300000000000033,33.74,8.77
175,195,0.19999999999999574,33.94,8.76
175,196,2.8800000000000026,36.82,24.14
175,197,0.04999999999999716,36.87,24.14
175,198,5.050000000000004,41.92,30.97
175,199,0.04999999999999716,41.97,31.0
175,200,0.05000000000000426,42.02,30.98
175,201,1.9799999999999969,44.0,20.04
175,202,0.04999999999999716,44.05,20.04
180,1,,0.14,0.41
180,2,0.12,0.26,0.42
180,3,0.14999999999999997,0.41,0.4
180,4,0.12000000000000005,0.53,0.41
180,5,0.15000000000000002,0.68,0.43
180,6,0.06999999999999995,0.75,0.42
180,7,0.12,0.87,0.44
180,8,0.07999999999999996,0.95,0.44
180,9,0.050000000000000044,1.0,0.43
180,10,0.1399999999999999,1.14,0.4
180,11,0.050000000000000044,1.19,0.42
180,12,0.15000000000000013,1.34,0.42
180,13,0.04999999999999982,1.39,0.42
180,14,0.09000000000000008,1.48,0.43
180,15,0.050000000000000044,1.53,0.44
180,16,0.09999999999999987,1.63,0.42
180,17,0.050000000000000044,1.68,0.4
180,18,0.050000000000000044,1.73,0.41
180,19,0.050000000000000044,1.78,0.42
180,20,0.050000000000000044,1.83,0.43
180,21,0.04999999999999982,1.88,0.42
180,22,0.040000000000000036,1.92,0.41
180,23,0.050000000000000044,1.97,0.42
180,24,0.09999999999999987,2.07,0.43
180,25,0.27,2.34,0.44
180,26,0.18999999999999995,2.53,0.41
180,27,0.050000000000000266,2.58,0.41
180,28,0.10000000000000009,2.68,0.39
180,29,0.04999999999999982,2.73,0.39
180,30,0.1499999999999999,2.88,0.41
180,31,0.050000000000000266,2.93,0.43
180,32,0.040000000000000036,2.97,0.44
180,33,0.04999999999999982,3.02,0.46
180,34,0.04999999999999982,3.07,0.44
180,35,0.050000000000000266,3.12,0.45
180,36,0.10000000000000009,3.22,0.43
180,37,0.04999999999999982,3.27,0.42
180,38,0.04999999999999982,3.32,0.4
180,39,0.14000000000000012,3.46,0.43
180,40,0.1499999999999999,3.61,0.42
180,41,0.1200000000000001,3.73,0.47
180,42,0.25,3.98,0.42
180,43,0.06999999999999984,4.05,0.42
180,44,0.21999999999999975,4.27,0.43
180,45,0.1900000000000004,4.46,0.46
180,46,0.15000000000000036,4.61,0.42
180,47,0.04999999999999982,4.66,0.42
180,48,0.04999999999999982,4.71,0.42
180,49,0.09999999999999964,4.81,0.43
180,50,0.040000000000000036,4.85,0.43
180,51,0.05000000000000071,4.9,0.43
180,52,0.09999999999999964,5.0,0.46
180,53,0.04999999999999982,5.05,0.45
180,54,0.15000000000000036,5.2,0.47
180,55,0.13999999999999968,5.34,0.45
180,56,0.20000000000000018,5.54,0.48
180,57,0.21999999999999975,5.76,0.5
180,58,0.04999999999999982,5.81,0.49
180,59,0.05000000000000071,5.86,0.51
180,60,0.040000000000000036,5.9,0.51
180,61,0.09999999999999964,6.0,0.51
180,62,0.04999999999999982,6.05,0.52
180,63,0.04999999999999982,6.1,0.52
180,64,0.05000000000000071,6.15,0.52
180,65,0.04999999999999982,6.2,0.51
180,66,0.04999999999999982,6.25,0.53
180,67,0.04999999999999982,6.3,0.53
180,68,0.040000000000000036,6.34,0.52
180,69,0.04999999999999982,6.39,0.53
180,70,0.05000000000000071,6.44,0.55
180,71,0.04999999999999982,6.49,0.55
180,72,0.04999999999999982,6.54,0.56
180,73,0.04999999999999982,6.59,0.59
180,74,0.04999999999999982,6.64,0.6
180,75,0.09000000000000075,6.73,0.61
180,76,0.04999999999999982,6.78,0.62
180,77,0.09999999999999964,6.88,0.6
180,78,0.04999999999999982,6.93,0.6
180,79,0.3200000000000003,7.25,0.66
180,80,0.13999999999999968,7.39,0.71
180,81,0.15000000000000036,7.54,0.72
180,82,0.04999999999999982,7.59,0.71
180,83,0.04999999999999982,7.64,0.72
180,84,0.10000000000000053,7.74,0.73
180,85,0.040000000000000036,7.78,0.77
180,86,0.14999999999999947,7.93,0.8
180,87,0.05000000000000071,7.98,0.8
180,88,0.09999999999999964,8.08,0.84
180,89,0.05000000000000071,8.13,0.85
180,90,0.11999999999999922,8.25,0.84
180,91,0.07000000000000028,8.32,0.82
180,92,0.08000000000000007,8.4,0.82
180,93,0.2599999999999998,8.66,0.9
180,94,0.1999999999999993,8.86,0.93
180,95,0.19000000000000128,9.05,0.9
180,96,0.1999999999999993,9.25,0.96
180,97,0.07000000000000028,9.32,0.96
180,98,0.15000000000000036,9.47,0.94
180,99,0.049999999999998934,9.52,0.92
180,100,0.33999999999999986,9.86,0.96
180,101,0.05000000000000071,9.91,0.97
180,102,0.15000000000000036,10.06,1.04
180,103,0.1399999999999988,10.2,1.01
180,104,0.05000000000000071,10.25,1.02
180,105,0.15000000000000036,10.4,1.06
180,106,0.11999999999999922,10.52,1.04
180,107,0.2400000000000002,10.76,1.14
180,108,0.05000000000000071,10.81,1.14
180,109,0.049999999999998934,10.86,1.15
180,110,0.05000000000000071,10.91,1.16
180,111,0.05000000000000071,10.96,1.18
180,112,0.049999999999998934,11.01,1.18
180,113,0.05000000000000071,11.06,1.17
180,114,0.049999999999998934,11.11,1.23
180,115,0.040000000000000924,11.15,1.25
180,116,0.09999999999999964,11.25,1.28
180,117,0.05000000000000071,11.3,1.29
180,118,0.09999999999999964,11.4,1.35
180,119,0.09999999999999964,11.5,1.44
180,120,0.05000000000000071,11.55,1.46
180,121,0.03999999999999915,11.59,1.48
180,122,0.05000000000000071,11.64,1.48
180,123,0.2699999999999996,11.91,1.64
180,124,0.08000000000000007,11.99,1.65
180,125,0.2599999999999998,12.25,1.8
180,126,0.25,12.5,1.89
180,127,0.14000000000000057,12.64,1.92
180,128,0.14999999999999858,12.79,1.9
180,129,0.20000000000000107,12.99,1.92
180,130,0.049999999999998934,13.04,1.92
180,131,0.14000000000000057,13.18,1.89
180,132,0.33999999999999986,13.52,1.84
180,133,0.370000000000001,13.89,1.76
180,134,0.09999999999999964,13.99,1.74
180,135,0.1899999999999995,14.18,1.67
180,136,0.05000000000000071,14.23,1.67
180,137,0.09999999999999964,14.33,1.69
180,138,0.05000000000000071,14.38,1.69
180,139,0.09999999999999964,14.48,1.68
180,140,0.08999999999999986,14.57,1.68
180,141,0.049999999999998934,14.62,1.71
180,142,0.05000000000000071,14.67,1.73
180,143,0.05000000000000071,14.72,1.71
180,144,0.049999999999998934,14.77,1.74
180,145,0.05000000000000071,14.82,1.74
180,146,0.049999999999998934,14.87,1.75
180,147,0.05000000000000071,14.92,1.76
180,148,0.040000000000000924,14.96,1.75
180,149,0.14999999999999858,15.11,1.83
180,150,0.46000000000000085,15.57,2.13
180,151,1.7399999999999984,17.31,4.07
180,152,0.15000000000000213,17.46,4.05
180,153,0.03999999999999915,17.5,4.05
180,154,1.3500000000000014,18.85,2.66
180,155,0.04999999999999716,18.9,2.63
180,156,0.08999999999999986,18.99,2.61
180,157,0.05000000000000071,19.04,2.58
180,158,0.15000000000000213,19.19,2.5
180,159,0.04999999999999716,19.24,2.48
180,160,0.05000000000000071,19.29,2.48
180,161,0.05000000000000071,19.34,2.48
180,162,0.03999999999999915,19.38,2.49
180,163,0.05000000000000071,19.43,2.53
180,164,0.14999999999999858,19.58,2.6
180,165,0.05000000000000071,19.63,2.63
180,166,0.15000000000000213,19.78,2.72
180,167,3.9299999999999997,23.71,3.61
180,168,0.14000000000000057,23.85,3.55
180,169,0.04999999999999716,23.9,3.53
180,170,0.05000000000000071,23.95,3.52
180,171,0.05000000000000071,24.0,3.51
180,172,0.05000000000000071,24.05,3.49
180,173,0.05000000000000071,24.1,3.49
180,174,0.04999999999999716,24.15,3.48
180,175,0.08999999999999986,24.24,3.56
180,176,0.05000000000000071,24.29,3.6
180,177,4.470000000000002,28.76,4.95
180,178,0.04999999999999716,28.81,4.92
180,179,0.05000000000000071,28.86,4.9
180,180,0.05000000000000071,28.91,4.91
180,181,0.05000000000000071,28.96,4.93
180,182,0.05000000000000071,29.01,4.98
180,183,2.8299999999999983,31.84,15.41
180,184,1.9300000000000033,33.77,7.09
180,185,0.04999999999999716,33.82,7.07
180,186,0.04999999999999716,33.87,7.08
180,187,2.8800000000000026,36.75,19.8
180,188,2.0,38.75,10.08
180,189,0.07000000000000028,38.82,10.07
180,190,0.04999999999999716,38.87,10.04
180,191,2.9299999999999997,41.8,24.89
180,192,5.740000000000002,47.54,34.55
180,193,0.05000000000000426,47.59,34.55
185,1,,0.17,0.42
185,2,0.26,0.43,0.41
185,3,0.14999999999999997,0.58,0.42
185,4,0.050000000000000044,0.63,0.4
185,5,0.19999999999999996,0.83,0.42
185,6,0.14,0.97,0.42
185,7,0.050000000000000044,1.02,0.41
185,8,0.1499999999999999,1.17,0.42
185,9,0.14000000000000012,1.31,0.43
185,10,0.050000000000000044,1.36,0.42
185,11,0.04999999999999982,1.41,0.4
185,12,0.10000000000000009,1.51,0.41
185,13,0.050000000000000044,1.56,0.39
185,14,0.050000000000000044,1.61,0.41
185,15,0.08999999999999986,1.7,0.39
185,16,0.050000000000000044,1.75,0.4
185,17,0.08000000000000007,1.83,0.4
185,18,0.18999999999999995,2.02,0.41
185,19,0.1499999999999999,2.17,0.38
185,20,0.050000000000000266,2.22,0.34
185,21,0.13999999999999968,2.36,0.36
185,22,0.050000000000000266,2.41,0.41
185,23,0.09999999999999964,2.51,0.41
185,24,0.050000000000000266,2.56,0.41
185,25,0.04999999999999982,2.61,0.43
185,26,0.10000000000000009,2.71,0.42
185,27,0.040000000000000036,2.75,0.4
185,28,0.04999999999999982,2.8,0.4
185,29,0.10000000000000009,2.9,0.39
185,30,0.050000000000000266,2.95,0.39
185,31,0.04999999999999982,3.0,0.41
185,32,0.10000000000000009,3.1,0.41
185,33,0.04999999999999982,3.15,0.41
185,34,0.0900000000000003,3.24,0.41
185,35,0.36999999999999966,3.61,0.39
185,36,0.29000000000000004,3.9,0.44
185,37,0.050000000000000266,3.95,0.44
185,38,0.09999999999999964,4.05,0.46
185,39,0.04999999999999982,4.1,0.44
185,40,0.05000000000000071,4.15,0.44
185,41,0.04999999999999982,4.2,0.44
185,42,0.040000000000000036,4.24,0.44
185,43,0.04999999999999982,4.29,0.43
185,44,0.04999999999999982,4.34,0.42
185,45,0.04999999999999982,4.39,0.43
185,46,0.05000000000000071,4.44,0.43
185,47,0.04999999999999982,4.49,0.43
185,48,0.09999999999999964,4.59,0.43
185,49,0.040000000000000036,4.63,0.42
185,50,0.04999999999999982,4.68,0.42
185,51,0.15000000000000036,4.83,0.47
185,52,0.3200000000000003,5.15,0.44
185,53,0.33999999999999986,5.49,0.49
185,54,0.14999999999999947,5.64,0.48
185,55,0.040000000000000036,5.68,0.48
185,56,0.05000000000000071,5.73,0.48
185,57,0.09999999999999964,5.83,0.47
185,58,0.04999999999999982,5.88,0.5
185,59,0.04999999999999982,5.93,0.52
185,60,0.10000000000000053,6.03,0.54
185,61,0.04999999999999982,6.08,0.53
185,62,0.08999999999999986,6.17,0.55
185,63,0.04999999999999982,6.22,0.56
185,64,0.15000000000000036,6.37,0.54
185,65,0.04999999999999982,6.42,0.56
185,66,0.04999999999999982,6.47,0.56
185,67,0.08999999999999986,6.56,0.6
185,68,0.20000000000000018,6.76,0.65
185,69,0.1200000000000001,6.88,0.68
185,70,0.15000000000000036,7.03,0.68
185,71,0.04999999999999982,7.08,0.68
185,72,0.04999999999999982,7.13,0.68
185,73,0.040000000000000036,7.17,0.69
185,74,0.04999999999999982,7.22,0.7
185,75,0.04999999999999982,7.27,0.73
185,76,0.05000000000000071,7.32,0.74
185,77,0.09999999999999964,7.42,0.78
185,78,0.09999999999999964,7.52,0.8
185,79,0.05000000000000071,7.57,0.79
185,80,0.040000000000000036,7.61,0.8
185,81,0.14999999999999947,7.76,0.83
185,82,0.04999999999999982,7.81,0.83
185,83,0.05000000000000071,7.86,0.83
185,84,0.04999999999999982,7.91,0.82
185,85,0.04999999999999982,7.96,0.83
185,86,0.040000000000000036,8.0,0.86
185,87,0.09999999999999964,8.1,0.91
185,88,0.05000000000000071,8.15,0.92
185,89,0.15000000000000036,8.3,0.9
185,90,0.11999999999999922,8.42,0.93
185,91,0.07000000000000028,8.49,0.96
185,92,0.08000000000000007,8.57,0.95
185,93,0.049999999999998934,8.62,0.94
185,94,0.040000000000000924,8.66,0.95
185,95,0.09999999999999964,8.76,0.96
185,96,0.05000000000000071,8.81,0.99
185,97,0.049999999999998934,8.86,1.0
185,98,0.05000000000000071,8.91,1.0
185,99,0.05000000000000071,8.96,1.0
185,100,0.1399999999999988,9.1,1.02
185,101,0.05000000000000071,9.15,1.03
185,102,0.1999999999999993,9.35,1.01
185,103,0.1899999999999995,9.54,1.06
185,104,0.15000000000000036,9.69,1.05
185,105,0.05000000000000071,9.74,1.04
185,106,0.09999999999999964,9.84,1.06
185,107,0.3100000000000005,10.15,1.09
185,108,0.1999999999999993,10.35,1.15
185,109,0.07000000000000028,10.42,1.15
185,110,0.08000000000000007,10.5,1.16
185,111,0.03999999999999915,10.54,1.17
185,112,0.05000000000000071,10.59,1.19
185,113,0.09999999999999964,10.69,1.23
185,114,0.05000000000000071,10.74,1.22
185,115,0.049999999999998934,10.79,1.24
185,116,0.05000000000000071,10.84,1.23
185,117,0.05000000000000071,10.89,1.25
185,118,0.049999999999998934,10.94,1.29
185,119,0.08999999999999986,11.03,1.35
185,120,0.05000000000000071,11.08,1.37
185,121,0.1999999999999993,11.28,1.45
185,122,0.19000000000000128,11.47,1.6
185,123,0.46999999999999886,11.94,1.88
185,124,0.14000000000000057,12.08,1.98
185,125,0.05000000000000071,12.13,2.04
185,126,0.09999999999999964,12.23,2.06
185,127,0.049999999999998934,12.28,2.06
185,128,0.05000000000000071,12.33,2.07
185,129,0.08999999999999986,12.42,2.12
185,130,0.05000000000000071,12.47,2.15
185,131,0.049999999999998934,12.52,2.16
185,132,0.05000000000000071,12.57,2.15
185,133,0.049999999999998934,12.62,2.15
185,134,0.05000000000000071,12.67,2.15
185,135,0.15000000000000036,12.82,2.21
185,136,0.03999999999999915,12.86,2.23
185,137,0.10000000000000142,12.96,2.2
185,138,0.049999999999998934,13.01,2.17
185,139,0.20000000000000107,13.21,2.14
185,140,0.1399999999999988,13.35,2.11
185,141,0.20000000000000107,13.55,2.03
185,142,0.2699999999999996,13.82,1.93
185,143,0.08999999999999986,13.91,1.92
185,144,0.3699999999999992,14.28,1.87
185,145,0.120000000000001,14.4,1.89
185,146,0.09999999999999964,14.5,1.88
