n,DeltaU1_V,U1_min_V,IA_min_nA
62,0.04999999999999982,6.05,0.52
63,0.04999999999999982,6.1,0.52
64,0.05000000000000071,6.15,0.52
65,0.04999999999999982,6.2,0.51
66,0.04999999999999982,6.25,0.53
67,0.04999999999999982,6.3,0.53
68,0.040000000000000036,6.34,0.52
69,0.04999999999999982,6.39,0.53
70,0.05000000000000071,6.44,0.55
71,0.04999999999999982,6.49,0.55
72,0.04999999999999982,6.54,0.56
73,0.04999999999999982,6.59,0.59
74,0.04999999999999982,6.64,0.6
75,0.09000000000000075,6.73,0.61
76,0.04999999999999982,6.78,0.62
77,0.09999999999999964,6.88,0.6
78,0.04999999999999982,6.93,0.6
79,0.3200000000000003,7.25,0.66
80,0.13999999999999968,7.39,0.71
81,0.15000000000000036,7.54,0.72
82,0.04999999999999982,7.59,0.71
83,0.04999999999999982,7.64,0.72
84,0.10000000000000053,7.74,0.73
85,0.040000000000000036,7.78,0.77
86,0.14999999999999947,7.93,0.8
87,0.05000000000000071,7.98,0.8
88,0.09999999999999964,8.08,0.84
89,0.05000000000000071,8.13,0.85
90,0.11999999999999922,8.25,0.84
91,0.07000000000000028,8.32,0.82
92,0.08000000000000007,8.4,0.82
93,0.2599999999999998,8.66,0.9
94,0.1999999999999993,8.86,0.93
95,0.19000000000000128,9.05,0.9
96,0.1999999999999993,9.25,0.96
97,0.07000000000000028,9.32,0.96
98,0.15000000000000036,9.47,0.94
99,0.049999999999998934,9.52,0.92
100,0.33999999999999986,9.86,0.96
101,0.05000000000000071,9.91,0.97
102,0.15000000000000036,10.06,1.04
103,0.1399999999999988,10.2,1.01
104,0.05000000000000071,10.25,1.02
105,0.15000000000000036,10.4,1.06
106,0.11999999999999922,10.52,1.04
107,0.2400000000000002,10.76,1.14
108,0.05000000000000071,10.81,1.14
109,0.049999999999998934,10.86,1.15
110,0.05000000000000071,10.91,1.16
111,0.05000000000000071,10.96,1.18
112,0.049999999999998934,11.01,1.18
113,0.05000000000000071,11.06,1.17
114,0.049999999999998934,11.11,1.23
115,0.040000000000000924,11.15,1.25
116,0.09999999999999964,11.25,1.28
117,0.05000000000000071,11.3,1.29
118,0.09999999999999964,11.4,1.35
119,0.09999999999999964,11.5,1.44
120,0.05000000000000071,11.55,1.46
121,0.03999999999999915,11.59,1.48
122,0.05000000000000071,11.64,1.48
123,0.2699999999999996,11.91,1.64
124,0.08000000000000007,11.99,1.65
125,0.2599999999999998,12.25,1.8
126,0.25,12.5,1.89
127,0.14000000000000057,12.64,1.92
128,0.14999999999999858,12.79,1.9
129,0.20000000000000107,12.99,1.92
130,0.049999999999998934,13.04,1.92
131,0.14000000000000057,13.18,1.89
132,0.33999999999999986,13.52,1.84
133,0.370000000000001,13.89,1.76
134,0.09999999999999964,13.99,1.74
135,0.1899999999999995,14.18,1.67
136,0.05000000000000071,14.23,1.67
137,0.09999999999999964,14.33,1.69
138,0.05000000000000071,14.38,1.69
139,0.09999999999999964,14.48,1.68
140,0.08999999999999986,14.57,1.68
141,0.049999999999998934,14.62,1.71
142,0.05000000000000071,14.67,1.73
143,0.05000000000000071,14.72,1.71
144,0.049999999999998934,14.77,1.74
145,0.05000000000000071,14.82,1.74
146,0.049999999999998934,14.87,1.75
147,0.05000000000000071,14.92,1.76
148,0.040000000000000924,14.96,1.75
149,0.14999999999999858,15.11,1.83
150,0.46000000000000085,15.57,2.13
151,1.7399999999999984,17.31,4.07
152,0.15000000000000213,17.46,4.05
153,0.03999999999999915,17.5,4.05
154,1.3500000000000014,18.85,2.66
155,0.04999999999999716,18.9,2.63
156,0.08999999999999986,18.99,2.61
157,0.05000000000000071,19.04,2.58
158,0.15000000000000213,19.19,2.5
159,0.04999999999999716,19.24,2.48
160,0.05000000000000071,19.29,2.48
161,0.05000000000000071,19.34,2.48
162,0.03999999999999915,19.38,2.49
163,0.05000000000000071,19.43,2.53
164,0.14999999999999858,19.58,2.6
165,0.05000000000000071,19.63,2.63
166,0.15000000000000213,19.78,2.72
167,3.9299999999999997,23.71,3.61
168,0.14000000000000057,23.85,3.55
169,0.04999999999999716,23.9,3.53
170,0.05000000000000071,23.95,3.52
171,0.05000000000000071,24.0,3.51
172,0.05000000000000071,24.05,3.49
173,0.05000000000000071,24.1,3.49
174,0.04999999999999716,24.15,3.48
175,0.08999999999999986,24.24,3.56
176,0.05000000000000071,24.29,3.6
177,4.470000000000002,28.76,4.95
178,0.04999999999999716,28.81,4.92
179,0.05000000000000071,28.86,4.9
180,0.05000000000000071,28.91,4.91
181,0.05000000000000071,28.96,4.93
182,0.05000000000000071,29.01,4.98
183,2.8299999999999983,31.84,15.41
184,1.9300000000000033,33.77,7.09
185,0.04999999999999716,33.82,7.07
186,0.04999999999999716,33.87,7.08
187,2.8800000000000026,36.75,19.8
188,2.0,38.75,10.08
189,0.07000000000000028,38.82,10.07
190,0.04999999999999716,38.87,10.04
191,2.9299999999999997,41.8,24.89
192,5.740000000000002,47.54,34.55
193,0.05000000000000426,47.59,34.55
