n,DeltaU1_V,U1_min_V,IA_min_nA
1,,0.14,0.41
2,0.12,0.26,0.42
3,0.14999999999999997,0.41,0.4
4,0.12000000000000005,0.53,0.41
5,0.15000000000000002,0.68,0.43
6,0.06999999999999995,0.75,0.42
7,0.12,0.87,0.44
8,0.07999999999999996,0.95,0.44
9,0.050000000000000044,1.0,0.43
10,0.1399999999999999,1.14,0.4
11,0.050000000000000044,1.19,0.42
12,0.15000000000000013,1.34,0.42
13,0.04999999999999982,1.39,0.42
14,0.09000000000000008,1.48,0.43
15,0.050000000000000044,1.53,0.44
16,0.09999999999999987,1.63,0.42
17,0.050000000000000044,1.68,0.4
18,0.050000000000000044,1.73,0.41
19,0.050000000000000044,1.78,0.42
20,0.050000000000000044,1.83,0.43
21,0.04999999999999982,1.88,0.42
22,0.040000000000000036,1.92,0.41
23,0.050000000000000044,1.97,0.42
24,0.09999999999999987,2.07,0.43
25,0.27,2.34,0.44
26,0.18999999999999995,2.53,0.41
27,0.050000000000000266,2.58,0.41
28,0.10000000000000009,2.68,0.39
29,0.04999999999999982,2.73,0.39
30,0.1499999999999999,2.88,0.41
31,0.050000000000000266,2.93,0.43
32,0.040000000000000036,2.97,0.44
33,0.04999999999999982,3.02,0.46
34,0.04999999999999982,3.07,0.44
35,0.050000000000000266,3.12,0.45
36,0.10000000000000009,3.22,0.43
37,0.04999999999999982,3.27,0.42
38,0.04999999999999982,3.32,0.4
39,0.14000000000000012,3.46,0.43
40,0.1499999999999999,3.61,0.42
41,0.1200000000000001,3.73,0.47
42,0.25,3.98,0.42
43,0.06999999999999984,4.05,0.42
44,0.21999999999999975,4.27,0.43
45,0.1900000000000004,4.46,0.46
46,0.15000000000000036,4.61,0.42
47,0.04999999999999982,4.66,0.42
48,0.04999999999999982,4.71,0.42
49,0.09999999999999964,4.81,0.43
50,0.040000000000000036,4.85,0.43
51,0.05000000000000071,4.9,0.43
52,0.09999999999999964,5.0,0.46
53,0.04999999999999982,5.05,0.45
54,0.15000000000000036,5.2,0.47
55,0.13999999999999968,5.34,0.45
56,0.20000000000000018,5.54,0.48
57,0.21999999999999975,5.76,0.5
58,0.04999999999999982,5.81,0.49
59,0.05000000000000071,5.86,0.51
60,0.040000000000000036,5.9,0.51
61,0.09999999999999964,6.0,0.51
