n,DeltaU1_V,U1_min_V,IA_min_nA
98,0.05000000000000071,9.64,1.02
99,0.049999999999998934,9.69,1.0
100,0.09999999999999964,9.79,1.03
101,0.05000000000000071,9.84,1.05
102,0.08999999999999986,9.93,1.09
103,0.05000000000000071,9.98,1.07
104,0.049999999999998934,10.03,1.07
105,0.05000000000000071,10.08,1.07
106,0.05000000000000071,10.13,1.07
107,0.049999999999998934,10.18,1.08
108,0.05000000000000071,10.23,1.14
109,0.1899999999999995,10.42,1.12
110,0.22000000000000064,10.64,1.27
111,0.14999999999999858,10.79,1.25
112,0.05000000000000071,10.84,1.26
113,0.05000000000000071,10.89,1.27
114,0.08999999999999986,10.98,1.34
115,0.049999999999998934,11.03,1.35
116,0.10000000000000142,11.13,1.38
117,0.049999999999998934,11.18,1.39
118,0.05000000000000071,11.23,1.43
119,0.049999999999998934,11.28,1.45
120,0.05000000000000071,11.33,1.49
121,0.03999999999999915,11.37,1.52
122,0.05000000000000071,11.42,1.56
123,0.05000000000000071,11.47,1.59
124,0.049999999999998934,11.52,1.62
125,0.05000000000000071,11.57,1.65
126,0.15000000000000036,11.72,1.77
127,0.049999999999998934,11.77,1.79
128,0.33999999999999986,12.11,2.0
129,0.120000000000001,12.23,2.07
130,0.15000000000000036,12.38,2.12
131,0.1399999999999988,12.52,2.18
132,0.05000000000000071,12.57,2.16
133,0.049999999999998934,12.62,2.15
134,0.10000000000000142,12.72,2.18
135,0.049999999999998934,12.77,2.19
136,0.14000000000000057,12.91,2.23
137,0.1999999999999993,13.11,2.16
138,0.27000000000000135,13.38,2.06
139,0.06999999999999851,13.45,2.05
140,0.20000000000000107,13.65,2.0
141,0.03999999999999915,13.69,1.99
142,0.15000000000000036,13.84,1.95
143,0.120000000000001,13.96,1.95
144,0.14999999999999858,14.11,1.87
145,0.10000000000000142,14.21,1.86
146,0.049999999999998934,14.26,1.86
147,0.05000000000000071,14.31,1.85
148,0.03999999999999915,14.35,1.84
149,0.09999999999999964,14.45,1.83
150,0.05000000000000071,14.5,1.82
151,0.05000000000000071,14.55,1.85
152,0.09999999999999964,14.65,1.89
153,0.049999999999998934,14.7,1.91
154,0.040000000000000924,14.74,1.91
155,0.049999999999998934,14.79,1.93
156,0.05000000000000071,14.84,1.92
157,0.05000000000000071,14.89,1.93
158,0.14999999999999858,15.04,2.02
159,1.0,16.04,3.08
160,2.4700000000000024,18.51,3.31
161,0.259999999999998,18.77,3.03
162,0.1999999999999993,18.97,2.9
163,0.05000000000000071,19.02,2.87
164,0.10000000000000142,19.12,2.81
165,0.03999999999999915,19.16,2.79
166,0.05000000000000071,19.21,2.81
167,0.09999999999999787,19.31,2.86
168,0.05000000000000071,19.36,2.87
169,0.05000000000000071,19.41,2.89
170,0.05000000000000071,19.46,2.92
171,0.05000000000000071,19.51,2.92
172,0.04999999999999716,19.56,2.97
173,0.0400000000000027,19.6,3.0
174,0.09999999999999787,19.7,3.1
175,0.05000000000000071,19.75,3.16
176,2.1499999999999986,21.9,8.47
177,0.05000000000000071,21.95,8.48
178,1.9800000000000004,23.93,4.05
179,0.05000000000000071,23.98,4.06
180,0.03999999999999915,24.02,4.05
181,0.05000000000000071,24.07,4.09
182,0.05000000000000071,24.12,4.1
183,0.05000000000000071,24.17,4.09
184,0.04999999999999716,24.22,4.12
185,0.05000000000000071,24.27,4.15
186,2.6799999999999997,26.95,13.02
187,1.740000000000002,28.69,5.94
188,0.14999999999999858,28.84,5.88
189,0.03999999999999915,28.88,5.87
190,0.05000000000000071,28.93,5.87
191,0.05000000000000071,28.98,5.9
192,0.05000000000000071,29.03,5.92
193,2.7799999999999976,31.81,18.54
194,1.9300000000000033,33.74,8.77
195,0.19999999999999574,33.94,8.76
196,2.8800000000000026,36.82,24.14
197,0.04999999999999716,36.87,24.14
198,5.050000000000004,41.92,30.97
199,0.04999999999999716,41.97,31.0
200,0.05000000000000426,42.02,30.98
201,1.9799999999999969,44.0,20.04
202,0.04999999999999716,44.05,20.04
