n,DeltaU1_V,U1_min_V,IA_min_nA
1,,0.63,0.43
2,0.09999999999999998,0.73,0.43
3,0.050000000000000044,0.78,0.44
4,0.14,0.92,0.45
5,0.15000000000000002,1.07,0.4
6,0.050000000000000044,1.12,0.4
7,0.04999999999999982,1.17,0.43
8,0.09000000000000008,1.26,0.45
9,0.050000000000000044,1.31,0.44
10,0.050000000000000044,1.36,0.44
11,0.04999999999999982,1.41,0.43
12,0.050000000000000044,1.46,0.41
13,0.050000000000000044,1.51,0.42
14,0.050000000000000044,1.56,0.41
15,0.050000000000000044,1.61,0.4
16,0.04999999999999982,1.66,0.4
17,0.040000000000000036,1.7,0.41
18,0.10000000000000009,1.8,0.44
19,0.050000000000000044,1.85,0.42
20,0.1499999999999999,2.0,0.42
21,0.04999999999999982,2.05,0.44
22,0.41000000000000014,2.46,0.42
23,0.10000000000000009,2.56,0.42
24,0.10000000000000009,2.66,0.42
25,0.04999999999999982,2.71,0.42
26,0.08999999999999986,2.8,0.43
27,0.050000000000000266,2.85,0.41
28,0.04999999999999982,2.9,0.43
29,0.050000000000000266,2.95,0.42
30,0.04999999999999982,3.0,0.42
31,0.04999999999999982,3.05,0.4
32,0.050000000000000266,3.1,0.41
33,0.08999999999999986,3.19,0.4
34,0.050000000000000266,3.24,0.42
35,0.1499999999999999,3.39,0.44
36,0.04999999999999982,3.44,0.43
37,0.54,3.98,0.42
38,0.14000000000000012,4.12,0.45
39,0.1200000000000001,4.24,0.47
40,0.04999999999999982,4.29,0.47
41,0.09999999999999964,4.39,0.47
42,0.05000000000000071,4.44,0.46
43,0.04999999999999982,4.49,0.47
44,0.09999999999999964,4.59,0.49
45,0.040000000000000036,4.63,0.46
46,0.10000000000000053,4.73,0.46
47,0.04999999999999982,4.78,0.47
48,0.14999999999999947,4.93,0.47
49,0.05000000000000071,4.98,0.49
50,0.13999999999999968,5.12,0.49
51,0.25,5.37,0.47
52,0.13999999999999968,5.51,0.49
53,0.08000000000000007,5.59,0.49
54,0.1900000000000004,5.78,0.53
55,0.14999999999999947,5.93,0.51
56,0.05000000000000071,5.98,0.51
57,0.04999999999999982,6.03,0.52
58,0.04999999999999982,6.08,0.53
59,0.040000000000000036,6.12,0.55
60,0.04999999999999982,6.17,0.56
61,0.04999999999999982,6.22,0.56
62,0.04999999999999982,6.27,0.58
63,0.05000000000000071,6.32,0.56
64,0.04999999999999982,6.37,0.58
65,0.04999999999999982,6.42,0.6
66,0.04999999999999982,6.47,0.6
67,0.04999999999999982,6.52,0.6
68,0.040000000000000036,6.56,0.63
69,0.05000000000000071,6.61,0.64
70,0.04999999999999982,6.66,0.63
71,0.04999999999999982,6.71,0.62
72,0.04999999999999982,6.76,0.63
73,0.10000000000000053,6.86,0.67
74,0.04999999999999982,6.91,0.68
75,0.08999999999999986,7.0,0.71
76,0.04999999999999982,7.05,0.7
77,0.27000000000000046,7.32,0.76
78,0.25,7.57,0.81
79,0.13999999999999968,7.71,0.86
80,0.09999999999999964,7.81,0.85
81,0.10000000000000053,7.91,0.86
82,0.14000000000000057,8.05,0.91
83,0.049999999999998934,8.1,0.91
84,0.09999999999999964,8.2,0.91
85,0.05000000000000071,8.25,0.91
86,0.05000000000000071,8.3,0.93
87,0.1399999999999988,8.44,0.94
88,0.08000000000000007,8.52,0.94
89,0.07000000000000028,8.59,0.95
90,0.1999999999999993,8.79,0.99
91,0.46000000000000085,9.25,1.03
92,0.05000000000000071,9.3,1.02
93,0.049999999999998934,9.35,1.03
94,0.05000000000000071,9.4,1.03
95,0.049999999999998934,9.45,1.03
96,0.040000000000000924,9.49,1.06
97,0.09999999999999964,9.59,1.03
