n,DeltaU1_V,U1_min_V,IA_min_nA
1,,10.64,1.23
2,3.5199999999999996,14.16,1.87
3,5.0,19.16,2.83
4,4.789999999999999,23.95,4.01
5,4.859999999999999,28.81,5.83
6,5.010000000000002,33.82,8.56
7,5.079999999999998,38.9,12.4
8,5.079999999999998,43.98,19.33
