n,DeltaU1_V,U1_min_V,IA_min_nA
1,,14.79,1.75
2,4.5,19.29,2.48
3,4.810000000000002,24.1,3.49
4,4.759999999999998,28.86,4.92
5,4.960000000000001,33.82,7.09
6,5.079999999999998,38.9,10.05
7,5.079999999999998,43.98,14.92
8,3.220000000000006,47.2,34.41
