delta_index (n → n+1),DeltaU_mean_V,DeltaU_std_V
1,-439208192230.3692,760730904044.4218
2,439208192232.3133,760730904044.0182
3,-109802048057.63258,190182726012.47903
4,109802048059.4399,190182726013.1562
5,0.9376587301586206,0.17666732180174238
6,1.1099686716792776,0.3263610931081612
7,1.4765789473684083,0.4256723539398861
8,1.1476767676768815,0.21576759496109477
9,3.3632756132754404,2.0651444776525483
10,4.249135338345379,1.0043062828282354
