pair,pearson_r,rmse_nA,mae_nA
Rep1-Rep2,0.9899194008026494,2.9822654267796853,1.0075417005632044
Rep1-Rep3,0.9977055863181381,1.3596591422982502,0.4147046021067997
Rep2-Rep3,0.9933883936994615,2.5240354284926636,1.1030989100959538
